Races_ID,RaceTime,CardNo,HorseName,AgeWt,Trainer,Jockey,Or,FFigs,Draw,Days,Age,Aid,Allow,cdb
26,Leopardstown,3,Flanking Maneuver,11-10,N Meade,M J M O'Sullivan,-,214/33-1,,83,8,,,   
26,Leopardstown,4,Flooring Porter,11-10,G P Cromwell,K M Donoghue,-,443-913,,34,8,t,,D C  
26,Leopardstown,5,Grangeclare West,11-10,W P Mullins,P Townend,-,1/1561-1,,47,7,,,   
26,Leopardstown,6,Tullyhogue Fort,11-10,J F O'Neill,Mr P J O'Neill,95,252457,,12,7,,,D   
27,Leopardstown,1,Fils D'oudairies (FR),11-12,G Elliott,J W Kennedy,148,F11013,,34,8,,,D C  
27,Leopardstown,2,Impaire Et Passe (FR),11-12,W P Mullins,D A Jacob,160,1/1111-2,,26,5,,,D   bf
27,Leopardstown,3,State Man (FR),11-12,W P Mullins,P Townend,166,11121-1,,34,6,,,  CD 
27,Leopardstown,4,Echoes In Rain (FR),11-5,W P Mullins,D E Mullins,153,2F141-2,,34,7,t,,D   
28,Leopardstown,1,Sequestered,12-0,P J Gilligan,J G Gilligan,130,541216,,42,5,,7,D   
28,Leopardstown,2,Yeats Star,11-13,G Elliott,D J Gilligan,129,443211,,34,4,,5,   
28,Leopardstown,3,Barry Lyndon,11-7,Dermot McLoughlin,C D Maxwell,123,125,,148,5,,,   
28,Leopardstown,4,Sportinthepark,11-7,N Meade,Rachael Blackmore,123,2-510,,27,4,h,,D   
28,Leopardstown,5,Waterford Whispers,11-7,H de Bromhead,M P Walsh,123,7-11,,27,5,,,D   
28,Leopardstown,6,Western Fold,11-7,G Elliott,J W Kennedy,123,3-3U15,,27,4,,,   
28,Leopardstown,7,Mount Sinai,11-5,W P Mullins,P Townend,121,3315,,17,5,,,D   
28,Leopardstown,8,Ochocinco,11-0,Colm A Murphy,L A McKenna,116,140,,27,5,,5,D   
28,Leopardstown,9,Champagne Admiral,10-13,P A Fahy,M J M O'Sullivan,115,475-321,,38,5,,,   
28,Leopardstown,10,Petit King (FR),10-10,E Cawley,J J Slevin,112,043-551,,17,7,,,D   
